imaginaryid,poet_name,city_name,referent,referentid,source_translation
48,Alcaeus,Scythia,Achilles,2,"Achilles, ruler of Scythia"
433,Stesichorus,Troy,Achilles,2,". . . hero Achilles . . . he (you?) took away . . . (he, having destroyed?) the city . . . and ( ) the wall . . . bold . . . wonder(ful). . ."
434,Stesichorus,Troy,Achilles (?),2,". . . (he, having destroyed?) the city . . . the child the descendant of Aeacus . . . round the town . . . (the flowery meadow) of Scamander. . ."
22,Alcaeus,Cyprus,Aphrodite,3,"(Holy) Cyprus-born, Damoanactidas . . . you in a fair (season?) . . . by the lovely olive-trees blew down"
23,Alcaeus,Cyprus,Aphrodite,3,by the hands of Cyprian Aphrodite
70,Alcman,Cyprus,Aphrodite?,3,Cyprian
71,Alcman,Cyprus,Aphrodite,3,"At the command of the Cyprian, Eros once again pours sweetly down and warms my heart."
117,Anacreon,Cyprus,Aphrodite,3,Cyprian Aphrodite
121,Anacreon,Lethaeus,Aphrodite,3,"who now somewhere by the eddies of the Lethaeus look down on a city of bold-hearted men and rejoice, since the citizens whom you shepherd are not untamed."
283,Ibycus,Cyprus,Aphrodite,3,and ruin mounted long-suffering Pergamum thanks to the golden-haired Cyprian
284,Ibycus,Cyprus,Aphrodite,3,...Cyprian...
285,Ibycus,Cyprus,Aphrodite,3,...the Cyprian...
325,Sappho,Crete,Aphrodite,3,"Hither to me from Crete to this holy temple,"
326,Sappho,Cyprus,Aphrodite,3,"there, Cypris, take . . . and pour gracefully into golden cups nectar that is mingled with our festivities."
327,Sappho,Cyprus,Aphrodite,3,"(Cypris and) Nereids, grant that my brother arrive here unharmed"
328,Sappho,Cyprus,Aphrodite,3,Cypris
329,Sappho,Cyprus,Aphrodite,3,"Cypris, and may she find you very harsh;"
330,Sappho,Cyprus,Aphrodite,3,for the holy Cyprian herself once blamed me for praying
331,Sappho,Cyprus,Aphrodite,3,"I talked with you in a dream, Cyprogeneia"
336,Sappho,Cythera,Aphrodite,3,Cytherea
337,Sappho,Cythera,Aphrodite,3,"‘Delicate Adonis is dying, Cytherea; what are we to do?’ / ‘Beat your breasts, girls, and tear your clothes.’"
348,Sappho,Olympus,Aphrodite,3,leaving your father's...house
396,Solon,Cyprus,Aphrodite,3,But now the works of the Cyprus-born and of Dionysus and the Muses are dear to me;
419,Stesichorus,Cyprus,Aphrodite,3,Cyprus-born (Aphrodite)
435,Stesichorus,Troy,Aphrodite,3,for Apollo . . . neither Artemis nor Aphrodite (still guarded?) the holy (city). . . the city of the Trojans Zeus. . . Trojans. . . deprived. . .
446,Theognis,Cyprus,Aphrodite,3,Not for long will you possess the gift of the violet–crowned Cyprus–born.
447,Theognis,Cyprus,Aphrodite,3,"lest one day you too, mighty boy, be overpowered and encounter the harsh workings of the Cyprus-born,"
448,Theognis,Cyprus,Aphrodite,3,"Boy, since the Cyprian goddess gave you a beauty that arouses desire and all the young men are obsessed with your looks,"
449,Theognis,Cyprus,Aphrodite,3,"Cyprus-born, put an end to my pain, scatter the cares that gnaw at my heart, and restore me to happiness."
450,Theognis,Cyprus,Aphrodite,3,"If one day you too shall crave the gift of the Cyprus-born crowned with violets and pursue another,"
451,Theognis,Cyprus,Aphrodite,3,Men thought that you had come with a gift from the golden Cyprus-born
452,Theognis,Cyprus,Aphrodite,3,"Cyprus-born Cytherean, weaver of wiles, to honour you Zeus gave you this special gift."
454,Theognis,Cythera,Aphrodite,3,and the fair-crowned Cytherean has released me from longing.
455,Theognis,Cythera,Aphrodite,3,"Cyprus-born Cytherean, weaver of wiles, to honour you Zeus gave you this special gift."
87,Alcman,Lycia,Apollo,4,before Lycean Apollo.
88,Alcman,Lycia,Apollo,4,". . . excessive; if only Lycean Apollo . . .,"
143,Aninius,Delos,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
144,Aninius,Miletus,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
145,Aninius,Delphi,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
146,Aninius,Naxos,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
147,Aninius,Scythia,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
148,Aninius,Claros,Apollo,4,"Apollo, you who are perhaps residing in Delos or Pytho or Naxos or Miletus or holy Clarus, come to your temple or you will end up among the Scythians."
181,Bacchylides,Delos,Apollo,4,"God of Delos, rejoice in your heart at the choirs of the Ceans and grant a heaven-sent fortune of blessings."
221,Corinna,Sinope,Apollo,4,"while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . ."
224,Corinna,Thespia,Apollo,4,"while Corcyra (and Salamis) and (lovely Euboea) (were stolen by) father Poseidon, and (Leto’s son) is in possession of Sinope and Thespia . . ."
340,Sappho,Gryneia,Apollo,4,leaving woody (Gryneia?)
381,Simonides,Delos,Apollo,4,"...Phoebus, (master) of Delos..."
386,Simonides,Lycia,Lycian [Apollo?],4,... Lycian (Apollo)...
435,Stesichorus,Troy,Apollo,4,for Apollo . . . neither Artemis nor Aphrodite (still guarded?) the holy (city). . . the city of the Trojans Zeus. . . Trojans. . . deprived. . .
491,Timotheus,Athens,Apollo,4,"Come, far-shooting Pythian, to this holy city"
521,Tyrtaeus,Delphi,oracles (Apollo),4,they brought home from Pytho the god's oracles and sure predictions
522,Tyrtaeus,Delphi,Apollo's shrine (Apollo),4,"For thus Apollo who works from afar, the golden-haired lord of the silver bow, prophesied from his rich shrine"
531,Tyrtaeus,Sparta,oracles,4,they brought home from Pytho the god's oracles and sure predictions
534,Tyrtaeus,Sparta,Apollo,4,For so was Phoebus’ revelation about this to the city
12,Alcaeus,Argos,Helen,5,. . . and excited the heart of Argive Helen in her breast;
280,Ibycus,Argos,Helen,5,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war..."
360,Sappho,Troy,Helen,5,she..went sailing off to Troy
431,Stesichorus,Troy,Helen,5,"That story is not true, and you did not go on the well-benched ships and you did not reach the citadel of Troy;"
414,Stesichorus,Athens,Polynices,6,"(and with) their dear Polynices (went the best leaders) of the Thebans. Making his way he began his journey along the road, passing the great wall . . . (and with) him . . . many . . . the men came to the furthest point (of Athens) under the escort (of the gods); and (soon) they reached the Isthmus of the sea-god, (the earth-shaker,) . . . (and were accomplishing their journey?) with prayers; and (then they departed for) the fair towns of Corinth, and quickly came to (well-built) Cleonae. . ."
