cityname,infowindowName,cityId,notes,lat,long,region,regionId
Melos,Melos,1,city not listed,36.683333,24.416667,Cyclades,1
Athens,Athens,2,,37.971687,23.726464,Attica,2
Thebes,Thebes,3,,38.319076,23.317799,Boeotia,3
Chalcis,Chalcis,4,,38.457139,23.621937,Euboea,22
Delos,Delos,5,city not listed,37.397274,25.268194,Cyclades,1
Chios,Chios,6,,38.414,26.053,Asia Minor islands,29
Leontini,Leontini,7,,37.285478,14.998115,Sicily,7
Mytilene,Mytilene,8,,39.110475,26.547048,Lesbos,8
Miletus,Miletus,9,,37.5292362,27.2774885,Ionia,6
Sparta,Sparta,10,,37.082132,22.42366,Peloponnese,9
Ephesus,Ephesus,11,,37.941944,27.339722,Ionia,6
Selinus,Selinus,12,,37.582841,12.82512,Sicily,7
Sicyon,Sicyon,13,,37.984123,22.711059,Peloponnese,9
Locri,Locri,14,i.e. Lokroi,38.216171,16.228784,Italy,10
Rhegium,Rhegium,15,dates not listed,38.109279,15.64393,Italy,10
Helicon,Helicon,16,"see http://www.mountain-forecast.com/peaks/Mount-Helicon and https://www.google.com/maps/place/38%C2%B021'10.0%22N+22%C2%B049'21.0%22E/@38.352778,22.8225,33620m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en",38.352778,22.8225,Boeotia,3
Megara,Megara,17,,37.985078,23.340163,Attica,2
Syracuse,Syracuse,18,,37.063921,15.292995,Sicily,7
Tarentum,Tarentum,19,i.e. Taras,40.476034,17.228553,Italy,10
Colophon,Colophon,20,,38.109632,27.14711,Ionia,6
Leucas,Leucas,21,,38.716667,20.65,Ionian Sea,19
Selymbria,Selymbria,22,city not listed,41.078496,28.247677,Northern Greece,11
Himera,Himera,23,dates not listed,37.970797,13.822496,Sicily,7
Megalopolis,Megalopolis,24,city founded 378,37.414256,22.126238,Peloponnese,9
Stageira,Stageira,25,city not listed,40.592218,23.795769,Northern Greece,11
Soli (Soloi/Pompeiopolis),Soli (Soloi/Pompeiopolis),26,"i.e. Soloi, Dem. 333-?",36.744896,34.542284,,
Nemea,Nemea,27,"city not listed; games overseen by Corinth or others, so...?",37.808904,22.7108171,Peloponnese,9
Marathon,Marathon,28,city not listed,38.137916,23.979372,Attica,2
Delphi,Delphi,30,dates not listed,38.482289,22.501169,Central Greece,4
Hermione,Hermione,31,,37.385218,23.243591,Peloponnese,9
Elis,ELIS (region),32,coordinates are city of Elis,37.891781,21.375091,Peloponnese,9
Macedonia,MACEDONIA (region),33,coordinates are Pella; Aiane – tyrrant; Beroia – Ol.,40.754555,22.518485,Northern Greece,11
Thessaly,THESSALY (region),34,either Ol. or Tyr. (various poleis),39.6,22.2,Thessaly,12
Cythera,Cythera,35,city not listed,36.1667,23,Cythera,13
Smyrna,Smyrna,36,city not listed,38.41905,27.1383,Ionia,6
Argos,Argos,38,,37.631561,22.719464,Peloponnese,9
Paros,Paros,39,,37.05,25.19,Cyclades,1
Thasos,Thasos,40,,40.683333,24.65,Northern Greece,11
Samos,Samos,41,,37.73,26.84,Asia Minor islands,29
Teos,Teos,42,,38.177262,26.785014,Ionia,6
Sardis,Sardis,43,city not listed,38.488314,28.040286,Lydia,14
Magnesia-ad-Sipylum,Magnesia-ad-Sipylum,44,dates not listed,38.604383,27.43864,Lydia,14
Methymna,Methymna,45,,39.370953,26.168055,Lesbos,8
Ioulis (Ceos),Ioulis (Ceos),46,,37.640469,24.340442,Cyclades,1
Leros,Leros,47,,37.158037,26.854663,Dodecanese,15
Corinth,Corinth,48,,37.906033,22.879189,Peloponnese,9
Messena,Messena,49,,38.192251,15.556634,Sicily,7
Erythrae,Erythrae,50,Boeotia Erythrae,38.243092,23.411384,Boeotia,3
Astypalaia,Astypalaia,51,,36.547366,26.35142,Dodecanese,15
Anthedon,Anthedon,52,,38.497693,23.451655,Boeotia,3
Mysia,MYSIA (region),53,coordinates are Pergamon,39.130991,27.18383,Mysia,16
Arcadia,ARCADIA (region),54,coordinates are Arcadian Orchomenos,37.725676,22.314403,Peloponnese,9
Phleious,Phleious,55,,37.831664,22.641069,Peloponnese,9
Eresos,Eresos,56,,39.138899,25.928752,Lesbos,8
Tanagra,Tanagra,57,,38.295671,23.584379,Boeotia,3
Matauria,Matauria,58,"coordinates are Metaurum in Calabria, though the identification of this city with the Suda's Matauria seems to be disputed",38.425,15.89985,Italy,10
Antissa,Antissa,59,,39.291377,26.018991,Lesbos,8
Gortyn,Gortyn,60,,35.062107,24.946943,Crete,17
Rhodes,Rhodes,61,,36.195597,27.964125,Dodecanese,15
Soli (Cyprus),Soli (Cyprus),63,,35.139761,32.811959,Cyprus,18
Katane,Katane,64,,37.502959,15.088142,Sicily,7
Abdera,Abdera,65,,40.95,24.983333,Northern Greece,11
Naxos,Naxos,66,,37.05,25.49,Cyclades,1
Siris,Siris,67,,40.149042,16.54137,Italy,10
Sicily,SICILY (region),68,Coordinates are Enna,37.567652,14.279558,Sicily,7
Tainaron,Tainaron,69,,36.387567,22.482064,Peloponnese,9
Mantineia,Mantineia,70,,37.618138,22.393259,Peloponnese,9
Pellene,Pellene,71,,38.043207,22.548344,Peloponnese,9
Thurii,Thurii,72,i.e. Sybaris,39.715622,16.490517,Italy,10
Ikaros,Ikaros,73,,37.583333,26.166667,Cyclades,1
Heracleia Trachinia,Heracleia Trachinia,74,Heraclea Trachinea,38.792037,22.447577,Central Greece,4
Clazomenae,Clazomenae,75,,38.3614625,26.7705581,Ionia,6
Thespiai,Thespiai,76,aka Thespeia and Thespia,38.295831,23.1528615,Boeotia,3
Amorgos,Amorgos,77,,36.833333,25.9,Cyclades,1
Gela,Gela,78,,37.063029,14.258722,Sicily,7
Akragas,Akragas,79,,37.290594,13.585475,Sicily,7
Pharsalos,Pharsalos,80,,39.362373,22.283669,Thessaly,12
Krannon,Krannon,81,,39.500564,22.294124,Thessaly,12
Salamis,Salamis,82,,37.93,23.51,Attica,2
Pallantion,Pallantion,83,,37.462155,22.336587,Peloponnese,9
Locris Ozolia,Locris Ozolia,84,coordinates are Amphissa,38.518403,22.374172,Central Greece,4
Persia,"PERSIA (region, at Persepolis)",85,Location is for Persepolis,29.935945,52.88841,Asia,21
Kynoskephalai,Kynoskephalai,86,"coordinates are modern Loutoufi (following Munn, CA 6 (1987): 113n27)",38.276667,23.27027,Boeotia,3
Olympia,Olympia,87,,37.637807,21.630049,Peloponnese,9
Metapontion,Metapontion,88,,40.383868,16.824063,Italy,10
Aigina,Aigina,89,coordinates are temple of Aphaia on Aegina,37.754475,23.53304,Cyclades & western Aegean islands,1
Pyrrha,Pyrrha,90,coordinates from Inventory,39.1,26.15,Lesbos,8
"Egypt
",EGYPT (region),91,coordinates are Naucratis,30.90071,30.591777,,
"Italy
","ITALY (region)
",92,coordinates are mod. Acri,39.481432,16.390228,Italy,10
Ionia,IONIA (region),93,coordinates are Mount Mycale (near Panionium),37.666667,27.083333,Ionia,6
Sanctuary of Poseidon Petraios,Sanctuary of Poseidon Petraios,94,"coordinates are the vale of Tempe, where the sanctuary lay (though it is still undiscovered)",39.875996,22.554418,Thessaly,12
Acharnae,Acharnae,95,,38.083333,23.733333,Attica,2
Mt. Ida,Mt. Ida,96,,35.226667,24.7725,Crete,17
Knossos,Knossos,97,,35.298056,25.163056,Crete,17
Sea of Crete,Sea of Crete,98,or Knossian Sea,35.926953,24.944044,Crete,17
Troezen,Troezen,99,,37.483333,23.35,Peloponnese,9
