imaginaryid,poetname,poetId,cityname,cityId,relationship,destination,destination_id,speaker,speakerid,notes,source_poem,source_citation,original_source,source_greektext,source_translation,source_translator,source_notes,source_explicit
53,Alcaeus,92,Troy,109,,,,,,,Alc. 298,15,,Δαρδάνι]ον πέδιον,the (Dardanian ?) plain,Campbell,,TRUE
93,Alcman,93,Olympus,100,,,,,,,Alcm. fr. 3.1,1,,Μώσαι Ὀλ]υμπιάδες,Olympian (Muses,Campbell,,TRUE
203,Corinna,104,Cithaeron,204,,,,,,,fr. 654.iv,31,,Κιθηρὼ[ν],Cithaeron,Campbell,,
282,Ibycus,117,Cydonia,142,,,,Narrator,,,286,2-Jan,,ἦρι μὲν αἵ τε Κυδώνιαι μηλίδες ἀρδόμεναι ῥοᾶν ἐκ ποταμῶν...,"In the spring flourish Cydonian quince-trees, watered from flowing rivers...",Campbell,,TRUE
336,Sappho,132,Cythera,35,,,,,,,Sapph. 86,3,,Κυθέρη᾽,Cytherea,Campbell,,TRUE
353,Sappho,132,Phrygia,128,,,,,,,Sapph. 92,12,,φρυ[,(Phrygian?),Campbell,,FALSE
397,Solon,136,Ionia,93,,,,,,,Solon 4a,3-Feb,,πρεσβυτάτην ἐσορῶν γαῖαν [Ἰ]αονίης / κλινομένην,"as I look on the eldest land of Ionia tottering,",Gerber,,TRUE
410,Sophocles,137,Olympus,100,,,,,,,Paean of Sophocles (i),10,,Ὀλύ]μπιον,Olympian,Campbell,,
506,Timotheus,6,Persia,85,,,,,,,fr. 791,approx. 50,,]α Περσᾶν,Persians,Campbell,,
528,Tyrtaeus,145,Messene,181,,,,,,,Tyrtaeus 23,6,,Μεσσηνίων,of the Messenians,Gerber,,TRUE
43,Alcaeus,92,Olympus,100,,,,Narrator,,,Alc. 130B,22,,Ὀλύμπιοι,the Olympian gods,Campbell,,TRUE
139,Anacreon,94,Thrace,129,,,,,,,Anac. fr. 422,1,,Θρῃκίην σίοντα χαίτην.,shaking his (your) Thracian locks,Campbell,,TRUE
141,Anacreon,94,Thrace,129,,,,,,,"Anac. fr. eleg. 5",1,,Θρηϊκίης <πώλου> ἐπιστρέφομαι.,I turn my thoughts to the Thracian (filly?).,Campbell,,TRUE
237,Critias,105,Sicily,68,,,,,,goods,Critias 2,3,,εἶτα δ᾿ ὄχος Σικελὸς κάλλει δαπάνῃ τε κράτιστος,"Next, a Sicilian wagon is the most beautiful and expensive",Gerber,,TRUE
272,Hipponax,116,Lerna,236,,,,,,,102,10,P. Oxy. xviii.2175 fr. 1,... ]ὕδρον ἐν Λέρνηι...,... serpent at Lerna,Gerber,,TRUE
329,Sappho,132,Cyprus,106,,,,,,,Sapph. 15,9,,"Κύ]πρι κα[ί σ]ε πι[κροτάτ]αν ἐπεύρ[οι,","Cypris, and may she find you very harsh;",Campbell,,TRUE
420,Stesichorus,138,Dryopis (Doris),154,,,,,,The hunt?,222,ii.8,,ἔνθεν δ᾿ αὖ Δρύοπ[ές] τε...,On the other side the Dryopians...,Campbell,,TRUE
466,Theognis,143,Megara,17,,,,,,,Theognidea,781 - 782,,"ἀλλὰ σύ, Φοῖβε, / ἵλαος ἡμετέρην τήνδε φύλασσε πόλιν.","Come, Phoebus, graciously protect this city of ours.",Gerber,,TRUE
537,Tyrtaeus,145,Thrace,129,,,,,,wind,Tyrtaeus 12,4,,νικῴη δὲ θέων Θρηΐκιον Βορέην,and outstripped Thracian Boreas in the race,Gerber,,TRUE
2,Adespota,152,Samos,41,,,,,,"The same proverb is recorded by Strabo 14.1.17 who states that after Polycrates, tyrant of Samos, was murdered by the Persians (c. 522), Darius installed Polycrates’ brother Syloson as tyrant. According to Strabo the proverb arose from Syloson’s ruling so harshly that the state suffered from a lack of men.",1,1,Heracl. Lemb. π. πολιτειῶν,"τὴν δὲ πολιτείαν τῶν Σαμίων Συλοσῶν ἠρήμωσεν· ἀφ᾿ οὗ καὶ ἡ παροιμία· ""ἕκητι Συλοσῶντος εὐρυχωρίη.""","Syloson laid waste the state of the Samians and from this there arose the proverb: ""By the will of Syloson there is wide open space.""",Gerber,,FALSE
3,Adespota,152,Abdera,65,,,,,,,3,1,Strabo 14.1.30,"Ἄβδηρα, καλὴ Τηΐων ἀποικίη.","Abdera, fair colony of the Teians",Gerber,,TRUE
4,Adespota,152,Thrace,240,,,,,,a city on the Hellespont,6,1,Hesy.,× – Πριηπίδος τε τῆς πρὸ Βοσπόρου,and of Priapis which faces the Bosporus,Gerber,,
9,Alcaeus,92,Aeolis,125,,,,Narrator,,,Alc. 129,7-May,,"κἀπωνύμασσαν ἀντίαον Δία / σὲ δ᾿ Αἰολήιαν [κ]υδαλίμαν θέον / πάντων γενέθλαν,","and they entitled Zeus God of Suppliants and you, the Aeolian, Glorious Goddess, Mother of all,",Campbell,,TRUE
32,Alcaeus,92,Lesbos,126,,,,Narrator,,,Alc. 129,3-Jan,,"τόδε Λέσβιοι / . . . ] . . . . εὔδειλον τέμενος μέγα / ξῦνον κά[τε]σσαν,",". . . the Lesbians established this great conspicuous precinct to be held in common,",Campbell,,TRUE
39,Alcaeus,92,Mytilene,8,,,,Narrator,,,Alc. 129,23 - 24,,δάπτει / τὰν πόλιν ἄμμι,he devours our city,Campbell,,TRUE
31,Alcaeus,92,Lesbos,126,,,,Narrator,,,Alc. 130B,15 - 18,,"συνόδοισί μ᾿ αὔταις / οἴκημι κ[ά]κων ἔκτος ἔχων πόδας, / ὄππαι Λ[εσβί]αδες κριννόμεναι φύαν / πώλεντ᾿ ἐλκεσίπεπλοι,","meetings themselves I dwell, keeping my feet out of trouble, where Lesbian women with trailing robes go to and fro being judged for beauty,",Campbell,,TRUE
18,Alcaeus,92,Chalcis,4,,,,,,,Alc. 140,16-Dec,,"πὰρ δὲ Χαλκίδικαι σπάθαι, / πὰρ δὲ ζώματα πόλλα καὶ κυπάσσιδες. / τῶν οὐκ ἔστι λάθεσθ᾿, ἐπεὶ / δὴ πρώτιστ᾿ ὐπὰ τὦργον ἔσταμεν τόδε.","Beside them are swords from Chalcis and many belts and tunics. These we have been unable to forget, ever since we first undertook this task.",Campbell,,TRUE
40,Alcaeus,92,Mytilene,8,,,,,,,Alc. 141,4-Mar,,ὤ]νηρ οὖτ[ος ὀ μαιόμενος τὸ μέγα κρέτος / ὀν]τρέψ[ει τάχα τὰν πόλιν· ἀ δ᾿ ἔχεται ῤόπας,this man who seeks supreme power will soon overturn the city; its fate is in the balance.,Campbell,,TRUE
35,Alcaeus,92,Mytilene,8,,,,,,,Alc. 152,1,,κ]ύδνας Μυτ[ιλήνας,glorious Mytilene,Campbell,,TRUE
14,Alcaeus,92,Athens,2,,,,,,,Alc. 167,13,,]νάων,(Athenians ?),Campbell,"Though laconose, Athenians is suggested (with reservation) by Campbell based on the presence of Phrynon (Athenian commander in the fighting for Sigeum)",FALSE
8,Alcaeus,92,Aeolis,125,,,,,,,Alc. 169 + 171 + 172 +173,7,,Α]ἰολίδαν,Aeolids,Campbell,,TRUE
36,Alcaeus,92,Mytilene,8,,,,,,,Alc. 169 + 171 + 172 +173,8,,]Μυτι[λ]ην,Mytilene,Campbell,,TRUE
102,Alcman,93,Sardis,43,,,,,,,Alcm. fr. 13(d),,,κλ[ε]ιναὶ Σάρ[διες,famous Sardis,Campbell,,TRUE
12,Alcaeus,92,Argos,38,,,,Narrator,,,Alc. 283,4-Mar,,"κ᾿ Αλένας ἐν στήθ[ε]σιν [ἐ]πτ[όαισε / θῦμον Ἀργείας,",. . . and excited the heart of Argive Helen in her breast;,Campbell,,TRUE
55,Alcaeus,92,Troy,109,,,,Narrator,,,Alc. 283,6-Apr,,"Τροΐ̣ω δ᾿ [ὐ]π᾿ ἄν[δρος / ἐκμάνεισα ξ[εν]ναπάτα ᾿πὶ π[όντον / ἔσπετο νᾶϊ,","and crazed by the Trojan man, the deceiver of his host, she accompanied him over the sea in his ship,",Campbell,,TRUE
57,Alcaeus,92,Troy,109,,,,Narrator,,brother's of Paris,Alc. 283,14-Dec,,"κ]ασιγνήτων πόλεας μ[έλαινα / γα]ῖ᾿ ἔχει Τρώων πεδίω<ι> δα[μεντας / ἔν]νεκα κήνας,","many of his brothers (the dark earth?) holds, laid low on the Trojans’ plain for that woman’s sake,",Campbell,,TRUE
22,Alcaeus,92,Cyprus,106,,,,,,season,Alc. 296(b),2-Jan,,"Κ]υπρογένη᾿, ἔν σε κάλωι Δαμοανακτίδ[αις / ]. πὰρ ἐλάαις ἐροέσσα[ις] καταήσσατο","(Holy) Cyprus-born, Damoanactidas . . . you in a fair (season?) . . . by the lovely olive-trees blew down",Campbell,,TRUE
29,Alcaeus,92,Lesbos,126,,,,,,,Alc. 296(b),12,,]ωδ᾽ [ἐ]ράτας,from lovely (Lesbos ?),Campbell,"suggested by Campbell, cf. ""I fled"" (line 13)",TRUE
5,Alcaeus,92,Achaea,130,,,,,,,Alc. 298,30,,Αἴας ἀχ,Ajax (to the Achaeans?),Campbell,,TRUE
6,Alcaeus,92,Aegae,114,,,,,,heroes,Alc. 298,6,,π]αρπλέοντες Αἴγαις<br>(See <i>Lexikon des frühgriechischen Epos</i> 241f s.v. <i>Αἰγαί</i>),they sailed past Aegae,Campbell,in southern Euboea,TRUE
33,Alcaeus,92,Locris Ozolia,84,,,,,,,Alc. 298,20 - 22,,"χέρρεσ]σι δ᾿ ἄμφοιν παρθενίκαν ἔλων / σέμνωι] παρεστάκοισαν ἀγάλματι / ὔβρισσ᾿] ὀ Λ[ό]κρος,","and seizing the maiden with both hands as she stood by the (holy?) statue the Locrian (ravished her),",Campbell,,TRUE
24,Alcaeus,92,Delphi,30,,,,,,Castalian spring,Alc. 307(d),1,,γ]άνος Τριτάα[ς,water of Tritaea,Campbell,,TRUE
21,Alcaeus,92,Cyllene,115,,,,,,,Alc. 308(b),2-Jan,,"χαῖρε, Κυλλάνας ὀ μέδεις, σὲ γάρ μοι / θῦμος ὔμνην,","Greetings, ruler of Cyllene—for it is of you that I wish to sing",Campbell,,TRUE
45,Alcaeus,92,Olympus,100,,,,,,,Alc. 308(b),4-Jan,,"χαῖρε, Κυλλάνας ὀ μέδεις, σὲ γάρ μοι / θῦμος ὔμνην, τὸν κορύφαισ᾿ ἐν αὔταις / Μαῖα γέννατο Κρονίδᾳ μίγεισα / παμβασίληϊ","Greetings, ruler of Cyllene—for it is of you that I wish to sing: you whom Maia bore on the very mountain-tops, having lain with Zeus, son of Cronus, king of all.",Campbell,"referent suggested by Campbell, citing Philostratus",TRUE
49,Alcaeus,92,Scythia,131,,,,,,region,Alc. 318,1,,Σκυθίκαις ὐπαδησάμενος,having put on Scythian shoes,Campbell,,TRUE
51,Alcaeus,92,Teos,42,,,,,,in Ionia,Alc. 322,1,,λάταγες ποτέονται κυλίχναν ἀπὺ Τηίαν,wine-drops fly from Teian cups,Campbell,,TRUE
19,Alcaeus,92,Coronea,116,,,,,,,Alc. 325,2,,Κορωνήας μεδ[,ruler of Coronea,Campbell,,TRUE
37,Alcaeus,92,Mytilene,8,,,,,,,Alc. 331,1,,Μέλαγχρος αἴδως ἄξιος ἐς πόλιν,"Melanchrus, worthy of respect, to the city",Campbell,,FALSE
11,Alcaeus,92,Antandrus,117,,,,,,,Alc. 337,1,,πρώτα μὲν Ἄντανδρος Λελέγων πόλις,Antandrus (is ?) the foremost city of the Leleges,Campbell,,TRUE
46,Alcaeus,92,Peloponnese,105,,,,Narrator,,Castor and Pollux,Alc. 34,2-Jan,,"δεῦτέ μοι νᾶ]σον Πέλοπος λίποντε[ς, / παῖδες ἴφθ]ιμοι Δ[ίος] ἠδὲ Λήδας,","Come hither, leaving the island of Pelops, strong sons of Zeus and Leda;",Campbell,destination could be 'here' but unmappable?,TRUE
44,Alcaeus,92,Olympus,100,,,,,,,Alc. 349(a),2-Jan,,ὤστε θέων μηδ᾿ ἔν᾿ Ὀλυμπίων / λῦσ᾿ ἄτερ ϝέθεν,so that none of the Olympian gods could free her apart from him,Campbell,,TRUE
30,Alcaeus,92,Lesbos,126,,,,Narrator,,,Alc. 34A,8,,λίποντες Μάκαρο[ς νᾶσον ἐ]πηράτ[,leaving the lovely island of Macar,Campbell,"travel implied but destination lost ""come to the land which C-- inhabits""",TRUE
48,Alcaeus,92,Scythia,131,,,,,,region,Alc. 354,1,,Ἀχίλλευς ὀ τὰς Σκυθίκας μέδεις,"Achilles, ruler of Scythia",Campbell,,TRUE
81,Alcman,93,Euboea,169,,,,,,,Alcm. fr. 5.49,7,,Ε]ὐβοιαν,Euboea,Campbell,,TRUE
50,Alcaeus,92,Sparta,10,,,,,,,Alc. 360,2-Jan,,"ὢς γὰρ δή ποτ᾿ Ἀριστόδαμον φαῖσ᾿ οὐκ ἀπάλαμνον ἐν Σπάρτᾳ λόγον / εἴπην· χρήματ᾿ ἄνηρ, πένιχρος δ᾿ οὐδ᾿ εἴς πέλετ᾿ ἔσλος οὐδὲ τίμιος.","for they say that Aristodemus once expressed it shrewdly at Sparta: ‘Money is the man, and no poor man is good or honourable.’",Campbell,,TRUE
23,Alcaeus,92,Cyprus,106,,,,,,hands,Alc. 380,1,,Κυπρογενήας παλάμαισιν,by the hands of Cyprian Aphrodite,Campbell,,TRUE
58,Alcaeus,92,Tyrrhacea,,,,,,,,Alc. 383,1,,Δίννομένῃ τῲ Τυρρακήῳ,of Dinnomenes the Tyrrhacean,Campbell,couldn't find this,TRUE
25,Alcaeus,92,Epirus,127,,,,Narrator,,the Melanippus,Alc. 38A,2,,Ἀχέροντα μέγ[αν,great river of...Acheron,Campbell,"what do we do with river names? the poem is addressed to Melanippus, who supposedly 'cross[es] the great river of eddying Acheron'",TRUE
26,Alcaeus,92,Epirus,127,,,,Narrator,,,Alc. 38A,8,,διννάεντ᾽ Ἀχέροντ᾽ ἐπέραισε,he (Sisyphus) crossed eddying Acheron,Campbell,,TRUE
17,Alcaeus,92,Ceteia,118,,,,,,,Alc. 413,1,,Κήτειον,Ceteian,Campbell,,TRUE
47,Alcaeus,92,Phrygia,128,,,,Narrator,,and Troy,Alc. 42,15 - 16,,οἰ δ᾿ ἀπώλοντ᾿ ἀμφ᾿ Ἐ[λένᾳ Φρύγες τε / καὶ πόλις αὔτων.,"But they perished for Helen’s sake—the Phrygians and their city,",Campbell,,TRUE
54,Alcaeus,92,Troy,109,,,,Narrator,,,Alc. 42,4-Jan,,"ὠς λόγος, κάκων ἄ[χος ἔννεκ᾿ ἔργων / Περράμῳ καὶ παῖσ[ί ποτ᾿, Ὦλεν᾿, ἦλθεν / ἐκ σέθεν πίκρον, π[ύρι δ᾿ ὤλεσε Ζεῦς / Ἴλιον ἴραν.","As the story goes, because of evil deeds bitter grief came once to Priam and his sons from you, Helen, and Zeus destroyed holy Ilium with fire.",Campbell,,TRUE
56,Alcaeus,92,Troy,109,,,,Narrator,,,Alc. 42,15 - 16,,οἰ δ᾿ ἀπώλοντ᾿ ἀμφ᾿ Ἐ[λένᾳ Φρύγες τε / καὶ πόλις αὔτων.,"But they perished for Helen’s sake—the Phrygians and their city,",Campbell,,TRUE
15,Alcaeus,92,Athens,2,,,,,,shield,Alc. 428(a),2-Jan,,Ἄλκαος σάος † ἄροι ἐνθαδ᾿ οὐκυτὸν ἁληκτορὶν † / ἐς Γλαυκώπιον ἶρον ὀνεκρέμασσαν Ἄττικοι.,"Alcaeus is safe, but the Athenians hung up (his armour? the shield that was his protection?) in the holy temple of Grey-eyed Athena.",Campbell,,TRUE
7,Alcaeus,92,Aenus,111,,,,Narrator,,Hebrus river,Alc. 45,3-Jan,,"Ἔβρε, κ[άλ]λιστος ποτάμων πὰρ Α[ἶνον / ἐξί[ησθ᾿ ἐς] πορφυρίαν θάλασσαν / Θρᾳκ[ίας ἐρ]ευγόμενος ζὰ γαίας","Hebrus, you flow, the most beautiful of rivers, past Aenus into the turbid sea, surging through the land of Thrace . . .",Campbell,,TRUE
86,Alcman,93,Issedones (Scythia),131,,,,,,"a Scythian tribe, city ID is for Scythia",Alcm. fr. 156,,,Ἐσσηδόνας,Essedones.,Campbell,,TRUE
27,Alcaeus,92,Hebrus,110,,,,Narrator,,Hebrus river,Alc. 45,1,,"Ἔβρε, κ[άλ]λιστος ποτάμων","Hebrus, the most beautiful of rivers",Campbell,what to do about rivers (cf. Acheron x2 in 38A)?,TRUE
52,Alcaeus,92,Thrace,129,,,,Narrator,,Hebrus river,Alc. 45,3,,Θρᾳκ[ίας ἐρ]ευγόμενος ζὰ γαίας,surging through the land of Thrace,Campbell,"there is movement here, but not sure how to map it.",TRUE
13,Alcaeus,92,Ascalon,113,,,,,,,Alc. 48,11,,Ἀσκάλωνα,Ascalon,Campbell,,TRUE
16,Alcaeus,92,Babylon,112,,,,,,,Alc. 48,10,,Βαβύλωνος ἴρας,holy Babylon,Campbell,,TRUE
28,Alcaeus,92,Hiera,,,,,Narrator,,couldn't find this city anywhere,Alc. 69,4-Mar,,ἴρ[ / ἐς πόλιν,to the sacred city,Campbell,"an alternate interpretation, offered by Campbell ad loc.",TRUE
34,Alcaeus,92,Lydia,102,,,,Narrator,,money,Alc. 69,4-Jan,,"Ζεῦ πάτερ, Λύδοι μὲν ἐπα[σχάλαντες / συμφόραισι δισχελίοις στά[τηρας / ἄμμ᾿ ἔδωκαν, αἴ κε δυνάμεθ᾿ ἴρ[ / ἐς πόλιν ἔλθην,","Father Zeus, the Lydians, indignant at the turn of events, gave us two thousand staters in the hope that we could enter the holy city,",Campbell,,TRUE
41,Alcaeus,92,Mytilene,8,,,,Narrator,,,Alc. 69,4-Jan,,"Ζεῦ πάτερ, Λύδοι μὲν ἐπα[σχάλαντες / συμφόραισι δισχελίοις στά[τηρας / ἄμμ᾿ ἔδωκαν, αἴ κε δυνάμεθ᾿ ἴρ[ / ἐς πόλιν ἔλθην,","Father Zeus, the Lydians, indignant at the turn of events, gave us two thousand staters in the hope that we could enter the holy city,",Campbell,see following,TRUE
10,Alcaeus,92,Aeolis,125,,,,Narrator,,,Alc. 7,6,,Πελάσγων Αἰολ[,Pelasgians Aeolian,Campbell,Aeolis? https://en.wikipedia.org/wiki/Aeolis,TRUE
20,Alcaeus,92,Crisa,108,,,,Narrator,,,Alc. 7,9,,Κιρσάησι,Crisa,Campbell,"Referent possible Phalanthus, the Spartan founder of Tarantum (see Loeb ad loc.)",TRUE
38,Alcaeus,92,Mytilene,8,,,,Narrator,,,Alc. 70,7,,δαπτέτω πόλιν,let (him)...devour the city,Campbell,,TRUE
42,Alcaeus,92,Olympus,100,,,,Narrator,,,Alc. 70,12-Oct,,"χαλάσσομεν δὲ τὰς θυμοβόρω λύας / ἐμφύλω τε μάχας, τάν τις Ὀλυμπίων / ἔνωρσε,","and let us relax from the heart-eating strife and civil warring, which one of the Olympians has aroused among us,",Campbell,,TRUE
78,Alcman,93,Enetoi,167,,,,,,,Alcm. fr. 1,51,,ἦ οὐχ ὁρῆις; ὁ μὲν κέλης Ἐνητικός,"Why, don’t you see? The race-horse is Venetic",Campbell,,TRUE
84,Alcman,93,Ibe,172,,,,,,,Alcm. fr. 1,59,,ἁ δὲ δευτέρα πεδ᾿ Ἀγιδὼ τὸ ϝεῖδος / ἵππος Ἰβηνῶι Κολαξαῖος δραμήται·,and the second in beauty after Agido will run like a Colaxaean horse against an Ibenian,Campbell,"Stephanus of Byzantium says that Ione at the mouth of the Orontes, near Antiocheia (mod. Antakya); but the scholia to Alcman say the term refers to Lydia",TRUE
89,Alcman,93,Lydia,102,,,,,,,Alcm. fr. 1,68,,"οὔτε γάρ τι πορφύρας τόσσος κόρος ὥστ᾿ ἀμύναι, οὔτε ποικίλος δράκων παγχρύσιος, οὐδὲ μίτρα Λυδία","For abundance of purple is not sufficient for protection, nor intricate snake of solid gold, no, nor Lydian headband",Campbell,,TRUE
103,Alcman,93,Scythia,131,,,,,,,Alcm. fr. 1,59,,ἁ δὲ δευτέρα πεδ᾿ Ἀγιδὼ τὸ ϝεῖδος / ἵππος Ἰβηνῶι Κολαξαῖος δραμήται·,and the second in beauty after Agido will run like a Colaxaean horse against an Ibenian,Campbell,Colaxaïs is a mythical king of Scythia (Hdt. 4.5.7),TRUE
112,Alcman,93,Xanthus,180,,,,,,,Alcm. fr. 1,100,,φθέγγεται δ᾿ [ἄρ᾿] ὥ[τ᾿ ἐπὶ] Ξάνθω ῥοαῖσι κύκνος,"why, its song is like that of a swan on the waters of the Xanthus",Campbell,,TRUE
