name,notes,lat,long,Total number of poets associated with the polis,Poets active 450,Poets active 425,Poets active 400,Kithara,Aulos,Magadis,Lyre,Dithyramb,Epigram,Elegy,Prosodion,Pyrrhic,Nome,Prooimion,Enkomion,Hymn,Pronomion,Paean
Melos,,36.683333,24.416667,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Athens,,37.971687,23.726464,42,13,13,26,13,4,1,0,16,1,2,0,1,2,1,2,1,1,2
Thebes,,38.319076,23.317799,4,4,4,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Chalcis,,38.457139,23.621937,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
Delos,,37.397274,25.268194,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Chios,,38.414,26.053,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leontini,,37.285478,14.998115,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mytilene,,39.110475,26.547048,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Miletus,,37.5292362,27.2774885,2,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0
Sparta,,37.082132,22.42366,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0
Ephesus,,37.941944,27.339722,2,0,0,2,1,1,0,0,2,0,0,0,0,1,1,1,1,1,0
Selinus,,37.582841,12.82512,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Sicyon,,37.984123,22.711059,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Locri,,38.216171,16.228784,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Rhegium,,38.109279,15.64393,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Helicon,,38.352778,22.8225,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Megara,,37.985078,23.340163,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,,37.063921,15.292995,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tarentum,,40.476034,17.228553,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colophon,,38.109632,27.14711,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leucas,,38.807342,20.713116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selymbria,,41.078496,28.247677,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Himera,,37.970797,13.822496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megalopolis,,37.414256,22.126238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stageira,,40.592218,23.795769,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Soli (Soloi/Pompeiopolis),i.e. Soloi,36.744896,34.542284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemea,,37.808904,22.7108171,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marathon,,38.137916,23.979372,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isthmia,,37.915927,22.993169,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphi,,38.482289,22.501169,7,5,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermione,,37.385218,23.243591,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elis,coordinates are city of Elis,37.891781,21.375091,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,coordinates are Pella,40.754555,22.518485,5,1,1,3,2,2,0,0,2,1,1,0,0,1,1,1,1,1,0
Thessaly,,39.6,22.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
