poetid,poet_name,instrument_names,genre_names,date_names
18,es,,,500; 475; 450; 425; 400
36,Alkaios,Kithara,,425; 400
35,Alkimakhos,Kithara,,500; 475; 450; 425; 400
8,Antigenes,,Dithyramb,500; 475; 450
56,Archelaos,,Elegy,500; 475; 450; 425; 400
37,Arignotos,Kithara,,425; 400
39,Ariphrades,Kithara,,425; 400; 375
23,Ariphron,,Dithyramb; Paean,400; 375
9,Aristarkhos,,Dithyramb; Iambs,425; 400
57,Aristokleides,,,500; 475; 450; 425; 400
38,Aristonous,Kithara,,425; 400; 375
10,Arkhestratos,,Dithyramb; Iambs,425; 400
19,Arrabaios,,,425; 400
11,Bakkhiadas,,Dithyramb; Epigram; Iambs,400; 375; 350; 325; 300
33,Castorion,,,
58,Chares,,Iambs,425; 400; 375
4,Cinesias,,Dithyramb,425; 400; 375
41,Dexitheus,Kithara,,500; 475; 450; 425; 400
59,Diagoras,,Dithyramb,500; 475; 450; 425; 400
60,Dikaiogenes,,Dithyramb,425; 400; 375
61,Dion,Kithara,,500; 475; 450; 425; 400
62,Dionysius of Chios,,Elegy,425; 400; 375
21,Dionysius of Thebes,,,500; 475; 450; 425; 400
63,Diphilos,,Iambs,500; 475; 450; 425; 400
64,Epameinondas,Aulos; Kithara,,425; 400; 375
43,Euangelos,Kithara,,450; 425; 400
65,Euenos,,Elegy; Iambs,475; 450; 425; 400
44,Eumelos,Kithara,,450; 425; 400
66,Euneidai,,,500; 475; 450; 425; 400
67,Euripides the Younger,,,425; 400; 375
42,Exekestides,Kithara,,425; 400; 375
68,Exekestos,,,500; 475; 450; 425; 400
12,Gnesippos,,Dithyramb,450; 425; 400
69,Hegemon,,,450; 425; 400
70,Hieronymos,,,500; 475; 450; 425; 400
71,Hippias,,,475; 450; 425
55,Ion of Chios,Lyre,Dithyramb; Elegy; Enkomion; Hymn,450; 425
72,Ion of Samos,,,425; 400; 375
73,Iophon,,,500; 475; 450; 425; 400
74,Karkinos,,,425; 400; 375
13,Kedeides,,Dithyramb,425; 400
51,Khairis,Aulos; Kithara,,500; 475; 450; 425; 400
14,Kinesias,,Dithyramb,425; 400; 375
75,Kleitagora,,,500; 475; 450; 425; 400
76,Kleomenes,,Dithyramb,425; 400; 375
46,Konnos,Kithara,,475; 450; 425
20,Krateuas,,,425; 400
47,Kydides,Kithara,,450; 425
28,Lamynthius,,,
77,Leotrophides,,Iambs,500; 475; 450; 425; 400
3,Licymnius,,Dithyramb,425; 400
52,Magnes,,,500; 475; 450; 425; 400
1,Melanippides,Aulos; Kithara,Dithyramb; Elegy; Epigram,525; 500; 475; 450; 425
91,Melanthius,,,
48,Meles,Kithara,,450; 425; 400
53,Meletos,,,450; 425; 400
49,Moskhos,Kithara,,450; 425; 400
15,Niko-,,Dithyramb,500; 475; 450; 425; 400
16,Nikostratos,,Dithyramb; Iambs,425; 400; 375
29,Oeniades,Aulos,,400; 375
78,Oenopas,,,425; 400; 375
79,Pankrates,,,425; 400; 375
17,Pantakles,,Dithyramb; Iambs,450; 425; 400
89,Pheidippides,,,500; 475; 450; 425; 400
24,Philoxenus of Cythera,,Dithyramb; Iambs,425; 400; 375
25,Philoxenus of Leucas,,Iambs,425; 400; 375
81,Phrynichos,,Dithyramb,500; 475; 450; 425; 400
5,Phrynis,Kithara,Iambs; Nome,450; 425; 400
82,"Pindar (son of Skopelinos, cousin/nephew? of Pindar)",,,500; 475; 450; 425; 400
26,Polyidus,,Dithyramb,425; 400; 375
83,Praxilla,,Dithyramb; Hymn,450
2,Pronomus,Aulos,Prosodion,450; 425; 400
84,Skythinos,,Epigram; Iambs,425; 400; 375
85,Sophokles (son of Ariston),,Elegy,425; 400; 375
86,Stesandros,,,500; 475; 450; 425; 400
54,Telesilla,,,450
7,Telestes,Magadis,Dithyramb; Iambs,425; 400
22,Tellen,Aulos,,400; 375; 350
87,Theano,,,500; 475; 450; 425; 400
45,Thespis,Kithara,,450; 425; 400
88,Timonides,,,500; 475; 450; 425; 400
6,Timotheus,Aulos; Kithara,Diaskeue; Dithyramb; Enkomion; Hymn; Nome; Prooimion,425; 400; 375; 350
90,Xenokrates,,Elegy,500; 475; 450; 425; 400
