poet_name,poetid,birth_city_name,birth_cityid,other_city_name,other_cityid,the_geom,sources,poet_link,instrument_names,genre_names,date_names
-es,18,Athens,2,Delos,5,0102000020E610000002000000C2FBAA5CA84439408BC6DADFD9B24240AAB8718BF9B937406479573D60FC4240,Stefanis 2684,"<a href=""linemap.html?poetid=18"">-es</a>",,,"500, 475, 450, 425, 400"
Ariphron,23,Sicyon,13,Athens,2,0102000020E610000002000000AAB8718BF9B937406479573D60FC4240C6866EF607B63640E61E12BEF7FD4240,"Campbell (Loeb, vol. 5)","<a href=""linemap.html?poetid=23"">Ariphron</a>",,"Dithyramb, Paean","400, 375"
Bakkhiadas,11,Sicyon,13,Helicon,16,0102000020E610000002000000C3F5285C8FD23640C85F5AD4272D4340C6866EF607B63640E61E12BEF7FD4240,"Stefanis 510, Aspiotes 387","<a href=""linemap.html?poetid=11"">Bakkhiadas</a>",,"Dithyramb, Epigram, Iambs","400, 375, 350, 325, 300"
Dion,61,Chios,6,Athens,2,0102000020E610000002000000AAB8718BF9B937406479573D60FC424021B07268910D3A40A245B6F3FD344340,"Stefanis 792, Aspiotes 575","<a href=""linemap.html?poetid=61"">Dion</a>",Kithara,,"500, 475, 450, 425, 400"
Dionysius of Chios,62,Chios,6,Athens,2,0102000020E610000002000000AAB8718BF9B937406479573D60FC424021B07268910D3A40A245B6F3FD344340,Aspiotes 592,"<a href=""linemap.html?poetid=62"">Dionysius of Chios</a>",,Elegy,"425, 400, 375"
Euangelos,43,Tarentum,19,Delphi,30,0102000020E610000002000000DFC4909C4C8036403B1C5DA5BB3D434017670C73823A31405CE49EAEEE3C4440,"Stefanis 916, Aspiotes 726","<a href=""linemap.html?poetid=43"">Euangelos</a>",Kithara,,"450, 425, 400"
Eumelos,44,Elis,32,Delphi,30,0102000020E610000002000000DFC4909C4C8036403B1C5DA5BB3D43402106BAF605603540DB183BE125F24240,"Stefanis 966, Aspiotes 754","<a href=""linemap.html?poetid=44"">Eumelos</a>",Kithara,,"450, 425, 400"
Ion of Chios,55,Chios,6,Athens,2,0102000020E610000002000000AAB8718BF9B937406479573D60FC424021B07268910D3A40A245B6F3FD344340,New Pauly,"<a href=""linemap.html?poetid=55"">Ion of Chios</a>",Lyre,"Dithyramb, Elegy, Enkomion, Hymn","450, 425"
Khairis,51,Thebes,3,Delphi,30,0102000020E610000002000000DFC4909C4C8036403B1C5DA5BB3D434096B377465B51374021787C7BD7284340,"Stefanis 2593 + 2594, Aspiotes 428","<a href=""linemap.html?poetid=51"">Khairis</a>","Aulos, Kithara",,"500, 475, 450, 425, 400"
Khairis,51,Thebes,3,Athens,2,0102000020E610000002000000AAB8718BF9B937406479573D60FC424096B377465B51374021787C7BD7284340,"Stefanis 2593 + 2594, Aspiotes 428","<a href=""linemap.html?poetid=51"">Khairis</a>","Aulos, Kithara",,"500, 475, 450, 425, 400"
