poet_name,birth_city_name,other_city_name,sources,instrument_names,genre_names,date_names
#NAME?,Athens,Delos,Stefanis 2684,,,"500,475,450,425,400"
Alkaios,,Athens,"Stefanis 131, Aspiotes 73",Kithara,,"425,400"
Alkimakhos,,Athens,"Stefanis 138, Aspiotes 83",Kithara,,"500,475,450,425,400"
Alkimakhos,,Nemea,"Stefanis 138, Aspiotes 83",Kithara,,"500,475,450,425,400"
Alkimakhos,,Marathon,"Stefanis 138, Aspiotes 83",Kithara,,"500,475,450,425,400"
Alkimakhos,,Isthmia,"Stefanis 138, Aspiotes 83",Kithara,,"500,475,450,425,400"
Ariphrades,,Athens,"Stefanis 399, Aspiotes 224",Kithara,,"425,400,375"
Ariphron,Sicyon,Athens,"Campbell (Loeb, vol. 5)",,"Dithyramb,Paean","400,375"
Aristarkhos,,Athens,"Stefanis 307, Aspiotes 228",,"Dithyramb,Iambs","425,400"
Aristonous,,Delphi,"Stefanis 369, Aspiotes 274",Kithara,,"425,400,375"
Bakkhiadas,Sicyon,Helicon,"Stefanis 510, Aspiotes 387",,"Dithyramb,Epigram,Iambs","400,375,350,325,300"
Dexitheus,,Delphi,"Stefanis 596, Aspiotes 540",Kithara,,"500,475,450,425,400"
Dion,Chios,Athens,"Stefanis 792, Aspiotes 575",Kithara,,"500,475,450,425,400"
Dionysius of Chios,Chios,Athens,Aspiotes 592,,Elegy,"425,400,375"
Euangelos,Tarentum,Delphi,"Stefanis 916, Aspiotes 726",Kithara,,"450,425,400"
Eumelos,Elis,Delphi,"Stefanis 966, Aspiotes 754",Kithara,,"450,425,400"
Exekestides,,Athens,Aspiotes 789,Kithara,,"425,400,375"
Exekestides,,Delphi,Aspiotes 789,Kithara,,"425,400,375"
Exekestides,,Sparta,Aspiotes 789,Kithara,,"425,400,375"
Ion of Chios,Chios,Athens,New Pauly,Lyre,"Dithyramb,Elegy,Enkomion,Hymn","450,425"
Kedeides,,Athens,"Stefanis 1391, Aspiotes 1042",,Dithyramb,"425,400"
Khairis,Thebes,Delphi,"Stefanis 2593 + 2594, Aspiotes 428","Aulos,Kithara",,"500,475,450,425,400"
Khairis,Thebes,Athens,"Stefanis 2593 + 2594, Aspiotes 428","Aulos,Kithara",,"500,475,450,425,400"
Krateuas,Thessaly,Macedonia,"Suda E 3695, Scholia in Euripidem Vitae Euripidis 5.18",,,"425,400"
Kydides,Hermione,Athens,"Stefanis 1520, Aspiotes 1143",Kithara,,"450,425"
Licymnius,Chios,Leontini,"Campbell (Loeb, vol. 5), Aspiotes 1199",,Dithyramb,"425,400"
Licymnius,Chios,Athens,"Campbell (Loeb, vol. 5), Aspiotes 1199",,Dithyramb,"425,400"
Magnes,Smyrna,Sardis,Aspiotes 1245,,,"500,475,450,425,400"
Magnes,Smyrna,Magnesia-ad-Sipylum,Aspiotes 1245,,,"500,475,450,425,400"
Melanippides,Melos,Macedonia,"Campbell (Loeb, vol. 5), Aspiotes 1275","Aulos,Kithara","Dithyramb,Elegy,Epigram","525,500,475,450,425"
Melanippides,Melos,Athens,"Campbell (Loeb, vol. 5), Aspiotes 1275","Aulos,Kithara","Dithyramb,Elegy,Epigram","525,500,475,450,425"
Moskhos,,Athens,"Stefanis 1748, Aspiotes 1348",Kithara,,"450,425,400"
Moskhos,,Delphi,"Stefanis 1748, Aspiotes 1348",Kithara,,"450,425,400"
Niko-,,Athens,Stefanis 1828,,Dithyramb,"500,475,450,425,400"
Nikostratos,,Athens,"Stefanis 1862, Aspiotes 1453",,"Dithyramb,Iambs","425,400,375"
Oeniades,,Athens,"Campbell (Loeb, vol. 5), Stefanis 1932, Aspiotes 1476",Aulos,,"400,375"
Pantakles,,Athens,"Stefanis 1992, Aspiotes 1533",,"Dithyramb,Iambs","450,425,400"
Philoxenus of Cythera,Cythera,Ephesus,"Campbell (Loeb, vol. 5), Aspiotes 1657",,"Dithyramb,Iambs","425,400,375"
Philoxenus of Cythera,Cythera,Athens,"Campbell (Loeb, vol. 5), Aspiotes 1657",,"Dithyramb,Iambs","425,400,375"
