instruments_poetname,poetId,instrument,instrumentid,notes,source
Khairis,51,Aulos,1,,
Melanippides,1,Aulos,1,,
Oeniades,29,Aulos,1,,
Pronomus,2,Aulos,1,,
Tellen,22,Aulos,1,,
Timotheus,6,Aulos,1,,
Alkaios,36,Kithara,2,,
Alkimakhos,35,Kithara,2,,
Arignotos,37,Kithara,2,,
Ariphrades,39,Kithara,2,,
Aristonous,38,Kithara,2,,
Dexitheus,41,Kithara,2,,
Euangelos,43,Kithara,2,,
Eumelos,44,Kithara,2,,
Exekestides,42,Kithara,2,,
Khairis,51,Kithara,2,,
Konnos,46,Kithara,2,,
Konnos,46,Lyre,3,Suda κ 2048,
Kydides,47,Kithara,2,,
Melanippides,1,Kithara,2,,
Meles,48,Kithara,2,,
Moskhos,49,Kithara,2,,
Phrynis,5,Kithara,2,,
Thespis,45,Kithara,2,,
Timotheus,6,Kithara,2,,
Cleomenes,27,Lyre,3,,
Telestes,7,Magadis,4,,
Ion of Chios,55,Lyre,3,,
Dion,61,Kithara,2,,
Epameinondas,64,Aulos,1,,
Epameinondas,64,Kithara,2,,
Alcaeus,92,Lyre,3,,
Alcman,93,Lyre,3,,
Anacreon,94,Lyre,3,,
Archilochus,97,Lyre,3,,
Arion,98,Kithara,2,,
Bacchylides,100,Barbitos,5,,
Charixena,103,Aulos,1,,
Critias,105,Aulos,1,,
Cydias,106,Lyre,3,,
Echembrotus,111,Aulos,1,,
Euripides,114,Kithara,2,?,
Ibycus,117,Sambyke,6,"or alternatively Ibycinon, i.e. triangular Kithara",
Ibycus,118,Lyre,3,,
Lamprocles,119,Aulos,1,,
Lamprus,120,Lyre,3,,
Lasus,121,Kithara,2,,
Mimnermus,122,Aulos,1,,
Olympus,124,Aulos,1,,
Polymnestus,128,Lyre,3,,
Polymnestus,128,Aulos,1,,
Pratinas,129,Aulos,1,,
Sacadas,131,Aulos,1,,
Sacadas,131,Sacadion,7,?,
Sappho,132,Lyre,3,,
Simonides,135,Lyre,3,,
Simonides,135,Kithara,2,,
Sophocles,137,Kithara,2,,
Stesichorus,138,Kithara,2,,
Stesichorus,138,Lyre,3,,
Telesilla,54,Lyre,3,,
Terpander,141,Kithara,2,,
Terpander,141,Lyre,3,,
Terpander,141,Barbitos,5,,
Thaletas,142,Lyre,3,,
Theognis,143,Kithara,2,,
Tyrtaeus,145,Aulos,1,,
Pindar,149,Aulus,1,,
Pindar,149,Lyre,3,,
Xenacritus,155,Kithara,2,,
