poetname,poetId,cityname,cityId,relationship,relationshipid,nativeid,dotted,notes,source_work,source_workid,source_citation,source_greektext,source_translation,source_translator,source_notes,source_explicit
-es,18,Athens,2,born,1,1,,,Inscription,,SEG 14 492,ν--ης Ἀθ̣[ηναῖ]ος ἐδίδ[ασκε].,...-es the Athenian taught.,Driscoll,,yes
-es,18,Delos,5,performed,3,3,,,Inscription,,SEG 14 492,ν--ης Ἀθ̣[ηναῖ]ος ἐδίδ[ασκε].,...-es the Athenian taught.,Driscoll,Dedicatory inscription found on Delos,no
Alcaeus,92,Mytilene,8,born,1,1,,Lesbian Mytilene,Strabo,2,Str. 13.2.3 (iii 65s. Kramer),"ἄνδρας δ᾿ ἔσχεν (sc. Μυτιλήνη) ἐνδόξους τὸ παλαιὸν μὲν Πιττακόν, ἕνα τῶν ἑπτὰ σοφῶν, καὶ τὸν ποιητὴν Ἀλκαῖον καὶ τὸν ἀδελφὸν Ἀντιμενίδαν","Mytilene produced famous men: in olden times Pittacus, one of the seven sages, and the poet Alcaeus and his brother Antimenidas",Campbell,,yes
Alcaeus,92,Pyrrha,90,performed,3,3,,"lat. 39.10, long. 26.15",Scholia to Alcaeus,3,Schol. Alc. fr. 114, κατὰ τὴν φυγὴν τὴν πρώτην ὅτ᾿ ἐπὶ Μυρσίλον κατασκευασάμ [(εν)]οι ἐπιβουλὴν οἱ π(ερὶ) Ἀλκαῖον κ( ) φαν[ . ] ι . [ . ]ς δ(ὲ) π( ) φθάσα[ν]τες πρὶν ἢ δίκη[ν] ὑπο[σ]χεῖν ἔφ[υ]γον [εἰ]ς Πύρρ[α]ν,"in the first exile when Aleaeus and his comrades, having concocted a plot against Myrsilus ... taking evasive action before being punished they fled to Pyrrha",Campbell,,yes
Alcaeus,92,Egypt,91,performed,3,3,,Where do we place this?,Strabo,2,Str. 1.2.30 (i 55 Kramer),"καθάπερ οὐδ᾿ Ἀλκαῖος, καίτοι φήσας ἀφῖχθαι καὶ αὐτὸς εἰς Αἴγυπτον","neither did Alcaeus, although he says he had been to Egypt himself",Campbell,,yes
Alcman,93,Sparta,10,born,1,,,,Suda,1,Suda A 1290,Ἀλκμάν· Λάκων ἀπὸ Μεσσόας· κατὰ δὲ τὸν Κράτητα πταίοντα Λυδὸς ἐκ Σαρδέων·,Alcman. A Laconian from Messoa: Crates wrongly makes him a Lydian from Sardis.,Campbell,"clearly a Hellenistic and Roman debate, to judge from testimonia 2-9 in Campbell",yes
Alcman,93,Sparta,10,,2,2,,,Palatine Anthology,,Anth. Pal. 7.19,"τὸν χαρίεντ᾿ Ἀλκμᾶνα, τὸν ὑμνητῆρ᾿ ὑμεναίων κύκνον, τὸν Μουσέων ἄξια μελψάμενον, τύμβος ἔχει, Σπάρτας μεγάλαν χάριν, ἔνθ᾿ ὅ γε Λυδός ἄχθος ἀπορρίψας οἴχεται εἰς Ἀίδαν.<br>(for the possibility of his origin in Sparta, see Origin)","Graceful Alcman, the swan who sang wedding-hymns, whose song was worthy of the Muses, lies in this tomb; he was a great delight to Sparta, where the Lydian, having thrown off his burden, departed to Hades.",Paton,,yes
Alcman,93,Sardis,43,born,1,1,,,Suda,1,For both possibilities see for instance: Suda A 1289,Ἀλκμάν· Λάκων ἀπὸ Μεσσόας· κατὰ δὲ τὸν Κράτητα πταίοντα Λυδὸς ἐκ Σαρδέων·,Alcman. A Laconian from Messoa: Crates wrongly makes him a Lydian from Sardis.,Campbell,"clearly a Hellenistic and Roman debate, to judge from testimonia 2-9 in Campbell",yes
Alkaios,36,Athens,2,performed,3,3,,,Scholia to Aristophanes,,Schol. Ar. Thesm. 162,"...ἀλλαχοῦ δὲ ὁ Δίδυμός φησιν, ἡ μὲν γραφὴ δύναται μένειν, οὐκ ἂν δὲ τούτου τοῦ μελοποιοῦ μέμνηται, πάλιν τὸ αὐτὸ λέγω ὅτι οὐκ ἐπεπόλαζε τὰ μέλη, ἀλλ' Ἀλκαίου τοῦ κιθαρῳδοῦ, οὗ καὶ Εὔπολις ἐν Χρυσῷ Γένει μέμνηται (fr. 303 K.-A.) »ὦ 'λκαῖε Σικελιῶτα Πελοποννήσιε.»","...But Didymus provides an alternative explanation: he says that the reading [of Alkaios] can remain, but [Aristophanes] is not mentioning the famous lyric poet (let me say again that [the lyric poet's] poetry was not current in Athens), but rather Alkaios the citharode, whom Eupolis mentions in his Golden Race, ""O Alcaeus, the Sicilian, the Peloponnesian.""",Driscoll,Assuming that parody in Eupolis implies performance in Athens,no
Alkaios,36,Sicily,68,performed,3,3,,,Scholia to Aristophanes,,Schol. Ar. Thesm. 163,"...ἀλλαχοῦ δὲ ὁ Δίδυμός φησιν, ἡ μὲν γραφὴ δύναται μένειν, οὐκ ἂν δὲ τούτου τοῦ μελοποιοῦ μέμνηται, πάλιν τὸ αὐτὸ λέγω ὅτι οὐκ ἐπεπόλαζε τὰ μέλη, ἀλλ' Ἀλκαίου τοῦ κιθαρῳδοῦ, οὗ καὶ Εὔπολις ἐν Χρυσῷ Γένει μέμνηται (fr. 303 K.-A.) »ὦ 'λκαῖε Σικελιῶτα Πελοποννήσιε.»","...But Didymus provides an alternative explanation: he says that the reading [of Alkaios] can remain, but [Aristophanes] is not mentioning the famous lyric poet (let me say again that [the lyric poet's] poetry was not current in Athens), but rather Alkaios the citharode, whom Eupolis mentions in his Golden Race, ""O Alcaeus, the Sicilian, the Peloponnesian.""",Driscoll,,yes
